## Generation 0 
{'pos_end_effector': array([ 2.39462119, -2.58996248]), 'dist_end_effector': -5.1010392138875345, 'collision': False}
{'pos_end_effector': array([1.43926275, 0.20645796]), 'dist_end_effector': -3.44545398711947, 'collision': False}
{'pos_end_effector': array([-1.04669107,  4.67038738]), 'dist_end_effector': -4.766688179118143, 'collision': False}
{'pos_end_effector': array([3.52245081, 0.06081054]), 'dist_end_effector': -5.522785606448881, 'collision': False}
{'pos_end_effector': array([ 4.30389759, -4.71258675]), 'dist_end_effector': -7.87067968339661, 'collision': False}
{'pos_end_effector': array([5.31106523, 1.40712037]), 'dist_end_effector': -7.4452442918714254, 'collision': False}
{'pos_end_effector': array([-3.81600451,  2.15035257]), 'dist_end_effector': -2.8145849694151486, 'collision': False}
{'pos_end_effector': array([0.82767267, 0.42695388]), 'dist_end_effector': -2.859724168291595, 'collision': False}
{'pos_end_effector': array([-1.63320279, -3.42280337]), 'dist_end_effector': -3.4424007803359533, 'collision': False}
{'pos_end_effector': array([1.90193888, 1.87991093]), 'dist_end_effector': -4.331188304690041, 'collision': False}
{'pos_end_effector': array([0.55669334, 2.13364735]), 'dist_end_effector': -3.3300348123058874, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.7739351 , 1.26404061]), 'dist_end_effector': -4.938446619141986, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.11491131,  1.91410393]), 'dist_end_effector': -2.108832817262783, 'collision': False}
{'pos_end_effector': array([ 1.09104624, -0.01228373]), 'dist_end_effector': -3.0910706513589905, 'collision': False}
{'pos_end_effector': array([-1.01952844, -1.43196196]), 'dist_end_effector': -1.735465223925691, 'collision': False}
{'pos_end_effector': array([-2.52564742,  2.14920133]), 'dist_end_effector': -2.2125486635405296, 'collision': False}
{'pos_end_effector': array([ 0.2076352, -2.0848511]), 'dist_end_effector': -3.0364876531018803, 'collision': False}
{'pos_end_effector': array([-0.44563953, -2.27423914]), 'dist_end_effector': -2.754668787834281, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.25996988, 1.59259411]), 'dist_end_effector': -3.628189584209426, 'collision': False}
{'pos_end_effector': array([ 3.94534324, -0.02974829]), 'dist_end_effector': -5.945417666145655, 'collision': False}
{'pos_end_effector': array([-4.28628865,  4.25259497]), 'dist_end_effector': -4.828217041235308, 'collision': False}
{'pos_end_effector': array([3.54351832, 3.83002755]), 'dist_end_effector': -6.737930421342913, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.90221164, -2.07824401]), 'dist_end_effector': -4.421125855545394, 'collision': False}
{'pos_end_effector': array([ 0.87212291, -0.51021292]), 'dist_end_effector': -2.917088824816655, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.16739042, -0.82727046]), 'dist_end_effector': -2.319904666859311, 'collision': False}
{'pos_end_effector': array([-0.94638123,  5.7455329 ]), 'dist_end_effector': -5.841340667417637, 'collision': False}
{'pos_end_effector': array([-1.27270688, -2.39970733]), 'dist_end_effector': -2.5074988639083275, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.66294924, -4.47825517]), 'dist_end_effector': -6.465126828374933, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.93164874, -1.76063356]), 'dist_end_effector': -5.2365054996897, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.1734352 , -0.83973276]), 'dist_end_effector': -2.0103457625083205, 'collision': False}
{'pos_end_effector': array([-0.23561554,  1.59443926]), 'dist_end_effector': -2.3780851692604053, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.73989086,  2.51565489]), 'dist_end_effector': -2.8136088150725365, 'collision': False}
{'pos_end_effector': array([ 0.27701934, -2.83111114]), 'dist_end_effector': -3.6331814376547085, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.79353438, 3.89007188]), 'dist_end_effector': -4.789205942391515, 'collision': False}
{'pos_end_effector': array([-1.27109052, -1.19738161]), 'dist_end_effector': -1.4017959003830227, 'collision': False}
{'pos_end_effector': array([1.74393036, 0.55007936]), 'dist_end_effector': -3.7841249716217775, 'collision': False}
{'pos_end_effector': array([-1.13172634,  1.12632966]), 'dist_end_effector': -1.4221524736200999, 'collision': False}
{'pos_end_effector': array([-0.76846792,  1.71293806]), 'dist_end_effector': -2.109698577630984, 'collision': False}
{'pos_end_effector': array([1.70882316, 3.30072632]), 'dist_end_effector': -4.964893102846207, 'collision': False}
{'pos_end_effector': array([ 3.43441168, -2.06175265]), 'dist_end_effector': -5.812370800249702, 'collision': False}
{'pos_end_effector': array([1.56615893, 1.76963727]), 'dist_end_effector': -3.9810935130313774, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.64449188, 4.39899967]), 'dist_end_effector': -5.132692802884397, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.28592073, 0.98513868]), 'dist_end_effector': -2.489162873567313, 'collision': False}
{'pos_end_effector': array([ 0.33608631, -0.69774792]), 'dist_end_effector': -2.4380630449787515, 'collision': False}
{'pos_end_effector': array([ 3.38991616, -0.22453063]), 'dist_end_effector': -5.39459083416687, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.17798025, -2.77214007]), 'dist_end_effector': -3.525387715478236, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.13531389,  2.22826545]), 'dist_end_effector': -2.232370212978744, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.55716727, -5.4278812 ]), 'dist_end_effector': -6.489632754582067, 'collision': False}
{'pos_end_effector': array([-1.97468582, -1.42957084]), 'dist_end_effector': -1.4297949526529414, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.45293337,  2.89610329]), 'dist_end_effector': -3.2834173352398652, 'collision': False}
{'pos_end_effector': array([-0.7944456 , -1.28801188]), 'dist_end_effector': -1.764181399223687, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.50606384, -4.19000916]), 'dist_end_effector': -4.448372962564597, 'collision': False}
{'pos_end_effector': array([ 2.14048542, -4.88432862]), 'dist_end_effector': -6.403146536465581, 'collision': False}
{'pos_end_effector': array([-1.45150654, -3.28406258]), 'dist_end_effector': -3.329551337014071, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.99218075, -1.90204706]), 'dist_end_effector': -4.422136379125881, 'collision': False}
{'pos_end_effector': array([-1.49940555, -2.84375727]), 'dist_end_effector': -2.8874816344037755, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
## Generation 1 
{'pos_end_effector': array([0.92290715, 4.35613288]), 'dist_end_effector': -5.245882178736492, 'collision': False}
{'pos_end_effector': array([0.82767267, 0.42695388]), 'dist_end_effector': -2.859724168291595, 'collision': False}
{'pos_end_effector': array([ 1.99218075, -1.90204706]), 'dist_end_effector': -4.422136379125881, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([5.31106523, 1.40712037]), 'dist_end_effector': -7.4452442918714254, 'collision': False}
{'pos_end_effector': array([3.52245081, 0.06081054]), 'dist_end_effector': -5.522785606448881, 'collision': False}
{'pos_end_effector': array([2.99375909, 0.74925079]), 'dist_end_effector': -5.0496541104958235, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.90193888, 1.87991093]), 'dist_end_effector': -4.331188304690041, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.13531389,  2.22826545]), 'dist_end_effector': -2.232370212978744, 'collision': False}
{'pos_end_effector': array([ 1.99706145, -1.93804757]), 'dist_end_effector': -4.442131092129834, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.44563953, -2.27423914]), 'dist_end_effector': -2.754668787834281, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.28592073, 0.98513868]), 'dist_end_effector': -2.489162873567313, 'collision': False}
{'pos_end_effector': array([1.73609435, 0.52048577]), 'dist_end_effector': -3.7721752880784325, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.52245081, 0.06081054]), 'dist_end_effector': -5.522785606448881, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 5.10368089, -3.75308224]), 'dist_end_effector': -8.034171301096372, 'collision': False}
{'pos_end_effector': array([-0.23561554,  1.59443926]), 'dist_end_effector': -2.3780851692604053, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.30714159,  6.15106039]), 'dist_end_effector': -6.1899593431850235, 'collision': False}
{'pos_end_effector': array([1.25996988, 1.59259411]), 'dist_end_effector': -3.628189584209426, 'collision': False}
{'pos_end_effector': array([ 0.45913165, -1.41870787]), 'dist_end_effector': -2.8390245636867397, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-3.81600451,  2.15035257]), 'dist_end_effector': -2.8145849694151486, 'collision': False}
{'pos_end_effector': array([ 1.55716727, -5.4278812 ]), 'dist_end_effector': -6.489632754582067, 'collision': False}
{'pos_end_effector': array([ 2.76895407, -2.28578906]), 'dist_end_effector': -5.288454835473166, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.16739042, -0.82727046]), 'dist_end_effector': -2.319904666859311, 'collision': False}
{'pos_end_effector': array([ 2.95372798, -1.72333568]), 'dist_end_effector': -5.24493153536875, 'collision': False}
{'pos_end_effector': array([1.06978252, 5.11823635]), 'dist_end_effector': -5.968241621243011, 'collision': False}
