## Generation 0 
{'pos_end_effector': array([0.16599674, 0.50635448]), 'dist_end_effector': -2.224395817915163, 'collision': False}
{'pos_end_effector': array([2.2216411, 3.7415483]), 'dist_end_effector': -5.641049303430193, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.76939497, -2.30970517]), 'dist_end_effector': -6.214551973962804, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.11960469, 1.38357661]), 'dist_end_effector': -2.5312068754840715, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.07052535, -4.27285865]), 'dist_end_effector': -5.261696205535249, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.85282143, -1.42716251]), 'dist_end_effector': -1.8310684069368843, 'collision': False}
{'pos_end_effector': array([-2.13570738,  3.88746461]), 'dist_end_effector': -3.8898325881417746, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.14549557,  1.54701762]), 'dist_end_effector': -2.4150466209208084, 'collision': False}
{'pos_end_effector': array([-0.64652868, -2.00782951]), 'dist_end_effector': -2.421417754075172, 'collision': False}
{'pos_end_effector': array([-0.99852521, -3.55248719]), 'dist_end_effector': -3.6909506854745278, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.03129416, 3.57952841]), 'dist_end_effector': -4.115723463335764, 'collision': False}
{'pos_end_effector': array([-2.06251032, -4.0685198 ]), 'dist_end_effector': -4.068999985838524, 'collision': False}
{'pos_end_effector': array([1.299077  , 0.43404281]), 'dist_end_effector': -3.32750691006733, 'collision': False}
{'pos_end_effector': array([-0.57785851, -1.95683999]), 'dist_end_effector': -2.4190306203219802, 'collision': False}
{'pos_end_effector': array([-1.77060696, -3.26419565]), 'dist_end_effector': -3.272246080988985, 'collision': False}
{'pos_end_effector': array([5.70597465, 0.05435774]), 'dist_end_effector': -7.7061663682971435, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.4820143 , 0.98763505]), 'dist_end_effector': -4.58953975980642, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.54750527, 4.74429999]), 'dist_end_effector': -5.3849944802509855, 'collision': False}
{'pos_end_effector': array([ 1.91240706, -0.00216014]), 'dist_end_effector': -3.9124076579408458, 'collision': False}
{'pos_end_effector': array([0.15231398, 2.85578385]), 'dist_end_effector': -3.5760252908183867, 'collision': False}
{'pos_end_effector': array([ 1.01929786, -0.45665234]), 'dist_end_effector': -3.053635686695981, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.51623568, 0.78509318]), 'dist_end_effector': -2.635870502769976, 'collision': False}
{'pos_end_effector': array([2.99923105, 1.78416709]), 'dist_end_effector': -5.308065876908025, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.81566157, 1.98149119]), 'dist_end_effector': -3.4430012216414645, 'collision': False}
{'pos_end_effector': array([0.27219523, 4.67831072]), 'dist_end_effector': -5.2009097651929554, 'collision': False}
{'pos_end_effector': array([ 0.37974277, -3.58610118]), 'dist_end_effector': -4.303870037424482, 'collision': False}
{'pos_end_effector': array([ 0.8929524 , -0.45878664]), 'dist_end_effector': -2.9291054516262607, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.66790535, 4.29879032]), 'dist_end_effector': -5.650940442214514, 'collision': False}
{'pos_end_effector': array([6.32770376, 3.7211936 ]), 'dist_end_effector': -9.121290029809478, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.81401018, -3.93106671]), 'dist_end_effector': -3.9354640960709606, 'collision': False}
{'pos_end_effector': array([ 2.0062569 , -0.81135113]), 'dist_end_effector': -4.0875891405885225, 'collision': False}
{'pos_end_effector': array([-1.10727589,  6.36456601]), 'dist_end_effector': -6.4268699089702, 'collision': False}
{'pos_end_effector': array([0.85020848, 2.40088297]), 'dist_end_effector': -3.7266509673735158, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([6.05267819, 1.36190942]), 'dist_end_effector': -8.167032710300575, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.26339708,  1.79142021]), 'dist_end_effector': -1.8106806428789208, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.74802271, -1.66228743]), 'dist_end_effector': -2.0810205719545327, 'collision': False}
{'pos_end_effector': array([0.38281975, 1.60750231]), 'dist_end_effector': -2.874350994731121, 'collision': False}
{'pos_end_effector': array([2.98775275, 4.25523233]), 'dist_end_effector': -6.556270253068432, 'collision': False}
{'pos_end_effector': array([-0.32463237,  1.55074464]), 'dist_end_effector': -2.282907278081633, 'collision': False}
{'pos_end_effector': array([ 2.61691379, -2.1914692 ]), 'dist_end_effector': -5.1106193516726375, 'collision': False}
{'pos_end_effector': array([ 0.19678349, -1.55393821]), 'dist_end_effector': -2.6908328933142154, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.84089229, 1.38616691]), 'dist_end_effector': -4.083370211214306, 'collision': False}
{'pos_end_effector': array([ 2.26376691, -4.30107147]), 'dist_end_effector': -6.0563127427171075, 'collision': False}
{'pos_end_effector': array([1.34130775, 3.28425174]), 'dist_end_effector': -4.685151756273623, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.29132517, -5.7773615 ]), 'dist_end_effector': -5.820663704258285, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
