## Generation 0 
{'pos_end_effector': array([ 1.29026789, -3.52674869]), 'dist_end_effector': -4.823258142602211, 'collision': False}
{'pos_end_effector': array([ 1.74419172, -1.1692597 ]), 'dist_end_effector': -3.9225170318087113, 'collision': False}
{'pos_end_effector': array([-0.00386723, -0.23690578]), 'dist_end_effector': -2.010141878776103, 'collision': False}
{'pos_end_effector': array([-0.66968833, -1.36045687]), 'dist_end_effector': -1.9027800810810527, 'collision': False}
{'pos_end_effector': array([-3.11175837,  2.64088079]), 'dist_end_effector': -2.865354780871943, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.38443703, -1.72589072]), 'dist_end_effector': -2.3640521319086845, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.58334963, -1.25268375]), 'dist_end_effector': -2.8710471733671885, 'collision': False}
{'pos_end_effector': array([-0.47080443,  2.41202478]), 'dist_end_effector': -2.8559241245803597, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.4834406 ,  3.91534957]), 'dist_end_effector': -4.198799197008359, 'collision': False}
{'pos_end_effector': array([-0.65854615,  1.75785767]), 'dist_end_effector': -2.2112354029441184, 'collision': False}
{'pos_end_effector': array([-1.05375011,  2.93826863]), 'dist_end_effector': -3.0868772921291177, 'collision': False}
{'pos_end_effector': array([-0.15342644, -2.11182746]), 'dist_end_effector': -2.8052894874908527, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.64769831,  1.33661884]), 'dist_end_effector': -1.9013862745631251, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.84063303, -0.55131267]), 'dist_end_effector': -2.893638138097177, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.22702997, -3.63919205]), 'dist_end_effector': -4.048103441427302, 'collision': False}
{'pos_end_effector': array([ 0.06459238, -4.97244276]), 'dist_end_effector': -5.384025325745894, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.37784189,  1.2429527 ]), 'dist_end_effector': -2.043606701381697, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.2743087 ,  1.76504026]), 'dist_end_effector': -1.7862285400661153, 'collision': False}
{'pos_end_effector': array([1.13147833, 1.1723477 ]), 'dist_end_effector': -3.3437337912647935, 'collision': False}
{'pos_end_effector': array([ 0.26589742, -1.52814214]), 'dist_end_effector': -2.7330403454122787, 'collision': False}
{'pos_end_effector': array([3.88841871, 1.56752918]), 'dist_end_effector': -6.093490187490063, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.67075396,  2.42631106]), 'dist_end_effector': -2.448548208361849, 'collision': False}
{'pos_end_effector': array([ 0.7953548 , -1.44168571]), 'dist_end_effector': -3.1452291030903385, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.49230635, 1.711679  ]), 'dist_end_effector': -4.807354918603724, 'collision': False}
{'pos_end_effector': array([ 2.90841003, -3.19046805]), 'dist_end_effector': -5.854192971825821, 'collision': False}
{'pos_end_effector': array([ 0.43131437, -0.02148394]), 'dist_end_effector': -2.431409286521136, 'collision': False}
{'pos_end_effector': array([2.98589981, 1.96516546]), 'dist_end_effector': -5.359204438005326, 'collision': False}
{'pos_end_effector': array([ 0.2750483 , -1.02945455]), 'dist_end_effector': -2.4971226303358955, 'collision': False}
{'pos_end_effector': array([-0.66877062,  4.40097805]), 'dist_end_effector': -4.597910337404799, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.02071492, -1.9541065 ]), 'dist_end_effector': -5.3875885584369625, 'collision': False}
{'pos_end_effector': array([3.27773687, 0.1910327 ]), 'dist_end_effector': -5.28119303987221, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.26591555, -0.27717917]), 'dist_end_effector': -4.274910965185381, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.63355945, -2.25678242]), 'dist_end_effector': -6.068777388790228, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
