## Generation 0 
{'pos_end_effector': array([0.71768591, 0.07723878]), 'dist_end_effector': -2.7187832813033914, 'collision': False}
{'pos_end_effector': array([ 1.31657313, -1.59420003]), 'dist_end_effector': -3.6798275815066734, 'collision': False}
{'pos_end_effector': array([2.64636446, 1.90326298]), 'dist_end_effector': -5.021066882959214, 'collision': False}
{'pos_end_effector': array([ 3.32602336, -1.47323226]), 'dist_end_effector': -5.5260237128672705, 'collision': False}
{'pos_end_effector': array([ 2.30878023, -2.86022846]), 'dist_end_effector': -5.171701258765456, 'collision': False}
{'pos_end_effector': array([0.22637241, 0.01238311]), 'dist_end_effector': -2.2264068448547345, 'collision': False}
{'pos_end_effector': array([ 0.55145304, -2.11347372]), 'dist_end_effector': -3.3131078724282825, 'collision': False}
{'pos_end_effector': array([ 1.22853166, -3.92531477]), 'dist_end_effector': -5.0824711222789425, 'collision': False}
{'pos_end_effector': array([2.11000742, 0.18327785]), 'dist_end_effector': -4.114091847122141, 'collision': False}
{'pos_end_effector': array([-1.57769092, -1.15124033]), 'dist_end_effector': -1.2262541548290742, 'collision': False}
{'pos_end_effector': array([-1.62635542, -4.83895541]), 'dist_end_effector': -4.853359633618301, 'collision': False}
{'pos_end_effector': array([ 2.55896547, -1.61198736]), 'dist_end_effector': -4.835562990276747, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.91238917, -1.57646267]), 'dist_end_effector': -5.159147404285428, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.11067817,  2.8552894 ]), 'dist_end_effector': -3.4237719758367917, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.59952552, -1.36369359]), 'dist_end_effector': -2.9355056010666165, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.93631458, -0.31057656]), 'dist_end_effector': -1.1080994842442875, 'collision': False}
{'pos_end_effector': array([1.46298199, 0.42802161]), 'dist_end_effector': -3.4893332827411205, 'collision': False}
{'pos_end_effector': array([-0.89145707, -3.61097208]), 'dist_end_effector': -3.777298873963617, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.98511182, -0.57794181]), 'dist_end_effector': -3.0405442427224783, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.14905264, 2.43938173]), 'dist_end_effector': -3.251001451644456, 'collision': False}
## Generation 1 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.14905264, 2.43938173]), 'dist_end_effector': -3.251001451644456, 'collision': False}
{'pos_end_effector': array([2.82576223, 3.0351455 ]), 'dist_end_effector': -5.700884957831813, 'collision': False}
{'pos_end_effector': array([2.78395463, 4.42541308]), 'dist_end_effector': -6.516939684237166, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.53320933, 2.64263381]), 'dist_end_effector': -6.131877273895092, 'collision': False}
{'pos_end_effector': array([ 0.42209743, -1.04006492]), 'dist_end_effector': -2.635961109083328, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.42504028, -0.33060736]), 'dist_end_effector': -3.4409594762119893, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.85312123, 2.9180084 ]), 'dist_end_effector': -5.662822499592947, 'collision': False}
{'pos_end_effector': array([0.24254192, 2.70578359]), 'dist_end_effector': -3.514293546414018, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.71768591, 0.07723878]), 'dist_end_effector': -2.7187832813033914, 'collision': False}
