## Generation 0 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.45404959, -0.07799325]), 'dist_end_effector': -5.454607213182263, 'collision': False}
{'pos_end_effector': array([2.74343012, 2.34148645]), 'dist_end_effector': -5.289866549367032, 'collision': False}
{'pos_end_effector': array([1.16510961, 3.03421539]), 'dist_end_effector': -4.38456176832809, 'collision': False}
{'pos_end_effector': array([ 1.41409964, -3.99042277]), 'dist_end_effector': -5.251623581822533, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.08055059, 0.30266932]), 'dist_end_effector': -6.08807886084843, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.0409323, -2.4118759]), 'dist_end_effector': -4.705983341783584, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.53671011, -3.75884526]), 'dist_end_effector': -3.7969692445532472, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.03287675, -1.75495468]), 'dist_end_effector': -2.685601199480734, 'collision': False}
{'pos_end_effector': array([3.85707754, 0.01190101]), 'dist_end_effector': -5.857089634276794, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.04836276, 0.12005768]), 'dist_end_effector': -3.050726038691051, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.44266084,  2.72532086]), 'dist_end_effector': -2.7610364780189176, 'collision': False}
{'pos_end_effector': array([0.59120621, 1.02462421]), 'dist_end_effector': -2.786432201157952, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.97612035, -2.39790128]), 'dist_end_effector': -3.8219396729472748, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.48378756, -1.37662557]), 'dist_end_effector': -2.8397708738224363, 'collision': False}
{'pos_end_effector': array([-1.04583309, -3.7473668 ]), 'dist_end_effector': -3.8669357967483147, 'collision': False}
{'pos_end_effector': array([ 2.06624083, -5.9101973 ]), 'dist_end_effector': -7.173893406550031, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.87797519, -3.21458697]), 'dist_end_effector': -6.699564291062471, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.13788981, -0.33351816]), 'dist_end_effector': -1.891742242279579, 'collision': False}
{'pos_end_effector': array([ 3.1249726 , -0.32945333]), 'dist_end_effector': -5.135550960673718, 'collision': False}
{'pos_end_effector': array([-0.78160188,  0.44573415]), 'dist_end_effector': -1.2973715435077513, 'collision': False}
{'pos_end_effector': array([0.96174708, 0.57946919]), 'dist_end_effector': -3.017901642779852, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([5.84407672, 1.93893892]), 'dist_end_effector': -8.080162358784097, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.41102253,  3.53249006]), 'dist_end_effector': -3.8734139209032383, 'collision': False}
{'pos_end_effector': array([ 1.29443818, -1.92612158]), 'dist_end_effector': -3.816184913806307, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.19623825, -1.62731987]), 'dist_end_effector': -2.4293469098506124, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.20698896, -0.84878612]), 'dist_end_effector': -4.291758845454739, 'collision': False}
{'pos_end_effector': array([3.7347684 , 1.46753654]), 'dist_end_effector': -5.919563506790087, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.85043734, -1.64756524]), 'dist_end_effector': -4.188118785610757, 'collision': False}
{'pos_end_effector': array([ 1.3042683 , -3.60079354]), 'dist_end_effector': -4.887116031851311, 'collision': False}
{'pos_end_effector': array([-4.55912231, -4.18504794]), 'dist_end_effector': -4.905479916711226, 'collision': False}
{'pos_end_effector': array([ 2.71792286, -2.29782096]), 'dist_end_effector': -5.247740203717366, 'collision': False}
{'pos_end_effector': array([1.24340541, 3.24696759]), 'dist_end_effector': -4.5893874481065575, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.10369167, 0.37823207]), 'dist_end_effector': -4.121085396431884, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.37394403, -2.56351509]), 'dist_end_effector': -4.237346805440687, 'collision': False}
{'pos_end_effector': array([ 1.59818005, -1.31485815]), 'dist_end_effector': -3.8308943586989406, 'collision': False}
{'pos_end_effector': array([-1.1443672 , -4.41487219]), 'dist_end_effector': -4.497021678473168, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
