## Generation 0 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.02654976, -1.04669159]), 'dist_end_effector': -5.134371022557044, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.43404271, 1.1106507 ]), 'dist_end_effector': -4.571026117531468, 'collision': False}
{'pos_end_effector': array([0.47949045, 1.83627466]), 'dist_end_effector': -3.085413667751143, 'collision': False}
{'pos_end_effector': array([ 0.39968936, -0.38030176]), 'dist_end_effector': -2.429637516686529, 'collision': False}
{'pos_end_effector': array([ 1.58488397, -5.3293281 ]), 'dist_end_effector': -6.422860036044623, 'collision': False}
{'pos_end_effector': array([0.18178588, 3.57311245]), 'dist_end_effector': -4.186564482364394, 'collision': False}
{'pos_end_effector': array([-0.66554988,  0.1250019 ]), 'dist_end_effector': -1.3402919815344785, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.17386675, 1.85210973]), 'dist_end_effector': -5.495380568485589, 'collision': False}
{'pos_end_effector': array([0.85234766, 4.1250276 ]), 'dist_end_effector': -5.0151510332499285, 'collision': False}
{'pos_end_effector': array([1.6592419 , 1.42138891]), 'dist_end_effector': -3.925607942431123, 'collision': False}
{'pos_end_effector': array([ 1.87800857, -1.45853635]), 'dist_end_effector': -4.143220822062511, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.74315855, -6.02529524]), 'dist_end_effector': -6.070952753740172, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.38546997, -1.23563698]), 'dist_end_effector': -4.5562205425264395, 'collision': False}
{'pos_end_effector': array([1.74000704, 0.52309733]), 'dist_end_effector': -3.776411451977948, 'collision': False}
{'pos_end_effector': array([ 3.41225111, -0.58520004]), 'dist_end_effector': -5.443796581177763, 'collision': False}
{'pos_end_effector': array([3.81660825, 1.42184886]), 'dist_end_effector': -5.98786987672033, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.97093387, -0.67508598]), 'dist_end_effector': -7.003546251246387, 'collision': False}
{'pos_end_effector': array([0.3742095 , 0.53320874]), 'dist_end_effector': -2.433347961555999, 'collision': False}
{'pos_end_effector': array([-0.465457  ,  3.36459933]), 'dist_end_effector': -3.698019853895261, 'collision': False}
{'pos_end_effector': array([1.71295065, 0.20736201]), 'dist_end_effector': -3.718736554570045, 'collision': False}
{'pos_end_effector': array([0.46427326, 0.84534585]), 'dist_end_effector': -2.6052355516917967, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.81070601,  1.70637477]), 'dist_end_effector': -2.0799363082207054, 'collision': False}
{'pos_end_effector': array([ 3.26691765, -1.88834702]), 'dist_end_effector': -5.5952011590416815, 'collision': False}
## Generation 1 
{'pos_end_effector': array([ 1.50637189, -1.67632627]), 'dist_end_effector': -3.8864783038336346, 'collision': False}
{'pos_end_effector': array([1.33160226, 0.20960109]), 'dist_end_effector': -3.338189068208294, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.68024678, -0.84895121]), 'dist_end_effector': -4.75661939957869, 'collision': False}
{'pos_end_effector': array([ 0.39968936, -0.38030176]), 'dist_end_effector': -2.429637516686529, 'collision': False}
{'pos_end_effector': array([-0.02958344, -3.91994142]), 'dist_end_effector': -4.387309216013489, 'collision': False}
{'pos_end_effector': array([ 1.57071466, -2.42405546]), 'dist_end_effector': -4.315790550770332, 'collision': False}
{'pos_end_effector': array([ 0.07303144, -3.49966829]), 'dist_end_effector': -4.067571452010651, 'collision': False}
{'pos_end_effector': array([-0.47092267,  3.84137093]), 'dist_end_effector': -4.134514258671706, 'collision': False}
{'pos_end_effector': array([-0.73610675,  0.57980238]), 'dist_end_effector': -1.390538365871418, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.6382272 , 0.53028685]), 'dist_end_effector': -3.6766698637409, 'collision': False}
{'pos_end_effector': array([ 0.39968936, -0.38030176]), 'dist_end_effector': -2.429637516686529, 'collision': False}
{'pos_end_effector': array([4.02494628, 3.23768929]), 'dist_end_effector': -6.839781402503349, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.98486704, -1.304148  ]), 'dist_end_effector': -5.1526402324030185, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.22390553,  3.42569788]), 'dist_end_effector': -3.5125102958963095, 'collision': False}
{'pos_end_effector': array([2.47812162, 1.08267184]), 'dist_end_effector': -4.607141363436752, 'collision': False}
{'pos_end_effector': array([-3.41720012,  1.01984593]), 'dist_end_effector': -1.7460074203896638, 'collision': False}
{'pos_end_effector': array([2.86171132, 1.65587446]), 'dist_end_effector': -5.135967012311904, 'collision': False}
{'pos_end_effector': array([0.56934087, 0.72348767]), 'dist_end_effector': -2.6692596200560237, 'collision': False}
{'pos_end_effector': array([0.56934087, 0.72348767]), 'dist_end_effector': -2.6692596200560237, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-4.12762041,  3.88885872]), 'dist_end_effector': -4.4328310065968015, 'collision': False}
{'pos_end_effector': array([2.43404271, 1.1106507 ]), 'dist_end_effector': -4.571026117531468, 'collision': False}
{'pos_end_effector': array([2.0126025 , 0.13950923]), 'dist_end_effector': -4.015026978615361, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.47949045, 1.83627466]), 'dist_end_effector': -3.085413667751143, 'collision': False}
{'pos_end_effector': array([-0.41975402,  3.64194101]), 'dist_end_effector': -3.9700014747650134, 'collision': False}
{'pos_end_effector': array([-0.94108307, -2.08127203]), 'dist_end_effector': -2.335165591263223, 'collision': False}
{'pos_end_effector': array([ 0.39968936, -0.38030176]), 'dist_end_effector': -2.429637516686529, 'collision': False}
{'pos_end_effector': array([ 0.94939622, -0.90310855]), 'dist_end_effector': -3.0845653003263647, 'collision': False}
{'pos_end_effector': array([-0.5817325 ,  1.44010029]), 'dist_end_effector': -2.0212302045724657, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.71295065, 0.20736201]), 'dist_end_effector': -3.718736554570045, 'collision': False}
{'pos_end_effector': array([3.82590855, 3.22498547]), 'dist_end_effector': -6.658959509567162, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.05729231, -3.4568858 ]), 'dist_end_effector': -3.965371682526925, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.87190759, -1.93417574]), 'dist_end_effector': -2.2391132779489893, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.1210683 , -1.95429096]), 'dist_end_effector': -2.1428425249428713, 'collision': False}
{'pos_end_effector': array([4.36602202, 2.3159925 ]), 'dist_end_effector': -6.774220075115562, 'collision': False}
{'pos_end_effector': array([ 3.26691765, -1.88834702]), 'dist_end_effector': -5.5952011590416815, 'collision': False}
{'pos_end_effector': array([-0.50264478,  0.37761169]), 'dist_end_effector': -1.544235491479561, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.05729231, -3.4568858 ]), 'dist_end_effector': -3.965371682526925, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.41534298, -0.33332837]), 'dist_end_effector': -3.431570405409643, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.16708279,  7.92434808]), 'dist_end_effector': -8.133564897718063, 'collision': False}
{'pos_end_effector': array([3.48166078, 2.76671283]), 'dist_end_effector': -6.140301688500937, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.81660825, 1.42184886]), 'dist_end_effector': -5.98786987672033, 'collision': False}
{'pos_end_effector': array([-0.05729231, -3.4568858 ]), 'dist_end_effector': -3.965371682526925, 'collision': False}
{'pos_end_effector': array([0.29372359, 2.84327978]), 'dist_end_effector': -3.6531367132756762, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.71295065, 0.20736201]), 'dist_end_effector': -3.718736554570045, 'collision': False}
{'pos_end_effector': array([ 1.61260408, -1.10493018]), 'dist_end_effector': -3.7778008069756885, 'collision': False}
{'pos_end_effector': array([-0.81070601,  1.70637477]), 'dist_end_effector': -2.0799363082207054, 'collision': False}
{'pos_end_effector': array([ 0.21535645, -1.26305774]), 'dist_end_effector': -2.5501213759862487, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.60302689, 1.89409369]), 'dist_end_effector': -4.0705520096151995, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.49331267, 2.4996488 ]), 'dist_end_effector': -5.141799576830304, 'collision': False}
{'pos_end_effector': array([ 0.17942352, -1.86283125]), 'dist_end_effector': -2.867058971352984, 'collision': False}
{'pos_end_effector': array([-1.22390553,  3.42569788]), 'dist_end_effector': -3.5125102958963095, 'collision': False}
{'pos_end_effector': array([0.72246453, 3.75222407]), 'dist_end_effector': -4.635838496774825, 'collision': False}
{'pos_end_effector': array([-0.43915832,  3.83671929]), 'dist_end_effector': -4.142057662994045, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.41534298, -0.33332837]), 'dist_end_effector': -3.431570405409643, 'collision': False}
{'pos_end_effector': array([-0.65087445,  3.91242919]), 'dist_end_effector': -4.138507211134019, 'collision': False}
{'pos_end_effector': array([-0.85278008, -1.1571314 ]), 'dist_end_effector': -1.6294375119718185, 'collision': False}
{'pos_end_effector': array([ 2.34637198, -4.88158338]), 'dist_end_effector': -6.536115487137424, 'collision': False}
{'pos_end_effector': array([ 0.85240101, -2.09133544]), 'dist_end_effector': -3.5369302332822894, 'collision': False}
{'pos_end_effector': array([0.29372359, 2.84327978]), 'dist_end_effector': -3.6531367132756762, 'collision': False}
{'pos_end_effector': array([2.43404271, 1.1106507 ]), 'dist_end_effector': -4.571026117531468, 'collision': False}
{'pos_end_effector': array([ 0.25193301, -0.76356535]), 'dist_end_effector': -2.377863392411579, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.44342682, 2.21773926]), 'dist_end_effector': -4.966126190121097, 'collision': False}
{'pos_end_effector': array([ 1.87800857, -1.45853635]), 'dist_end_effector': -4.143220822062511, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.34601083, -0.42857465]), 'dist_end_effector': -3.3733462181851643, 'collision': False}
{'pos_end_effector': array([-0.66554988,  0.1250019 ]), 'dist_end_effector': -1.3402919815344785, 'collision': False}
{'pos_end_effector': array([ 3.57827508, -1.04506952]), 'dist_end_effector': -5.675325822495324, 'collision': False}
{'pos_end_effector': array([ 4.97093387, -0.67508598]), 'dist_end_effector': -7.003546251246387, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.48878027,  0.35556321]), 'dist_end_effector': -1.5524851943478957, 'collision': False}
{'pos_end_effector': array([0.47949045, 1.83627466]), 'dist_end_effector': -3.085413667751143, 'collision': False}
{'pos_end_effector': array([0.85234766, 4.1250276 ]), 'dist_end_effector': -5.0151510332499285, 'collision': False}
{'pos_end_effector': array([3.86488393, 1.03711208]), 'dist_end_effector': -5.955876509254749, 'collision': False}
{'pos_end_effector': array([ 0.53061981, -1.29776154]), 'dist_end_effector': -2.843979894601678, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.13084223, 2.78974928]), 'dist_end_effector': -4.193432255861463, 'collision': False}
{'pos_end_effector': array([-0.12526951,  1.86236113]), 'dist_end_effector': -2.6425373007105124, 'collision': False}
{'pos_end_effector': array([0.42515817, 0.73172973]), 'dist_end_effector': -2.533144398087363, 'collision': False}
{'pos_end_effector': array([3.81660825, 1.42184886]), 'dist_end_effector': -5.98786987672033, 'collision': False}
{'pos_end_effector': array([-1.22390553,  3.42569788]), 'dist_end_effector': -3.5125102958963095, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.19501377,  4.24427837]), 'dist_end_effector': -4.612144200071745, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.70601123, 1.85192535]), 'dist_end_effector': -6.957026239056205, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.15309524, -2.53575336]), 'dist_end_effector': -4.86602970972256, 'collision': False}
{'pos_end_effector': array([3.04207586, 0.88710238]), 'dist_end_effector': -5.119519467760892, 'collision': False}
{'pos_end_effector': array([3.85428828, 0.84650539]), 'dist_end_effector': -5.915172239793113, 'collision': False}
{'pos_end_effector': array([0.18178588, 3.57311245]), 'dist_end_effector': -4.186564482364394, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.41975402,  3.64194101]), 'dist_end_effector': -3.9700014747650134, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.73610675,  0.57980238]), 'dist_end_effector': -1.390538365871418, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.97093387, -0.67508598]), 'dist_end_effector': -7.003546251246387, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.41534298, -0.33332837]), 'dist_end_effector': -3.431570405409643, 'collision': False}
{'pos_end_effector': array([-1.10279686,  3.61516813]), 'dist_end_effector': -3.724837462611188, 'collision': False}
{'pos_end_effector': array([2.16718173, 2.80857097]), 'dist_end_effector': -5.025283516492421, 'collision': False}
{'pos_end_effector': array([ 2.98486704, -1.304148  ]), 'dist_end_effector': -5.1526402324030185, 'collision': False}
{'pos_end_effector': array([ 4.15398739, -3.10827342]), 'dist_end_effector': -6.894412553399983, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.17386675, 1.85210973]), 'dist_end_effector': -5.495380568485589, 'collision': False}
