## Generation 0 
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99985474,  0.00705905]), 'dist_end_effector': -1.0001701696402303, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.90217592,  0.34047612]), 'dist_end_effector': -1.1494092814012935, 'collision': False}
{'pos_end_effector': array([-0.99999053,  0.00961545]), 'dist_end_effector': -1.0000556957006377, 'collision': False}
{'pos_end_effector': array([-0.59373476,  0.33492504]), 'dist_end_effector': -1.445599079991621, 'collision': False}
{'pos_end_effector': array([-0.99935867, -0.00468759]), 'dist_end_effector': -1.0006523066395843, 'collision': False}
{'pos_end_effector': array([-0.99982602, -0.00443937]), 'dist_end_effector': -1.0001838323000973, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99997253, -0.00800731]), 'dist_end_effector': -1.000059523666353, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99981727, -0.00667932]), 'dist_end_effector': -1.000205036062451, 'collision': False}
{'pos_end_effector': array([-0.41239768,  0.69601791]), 'dist_end_effector': -1.7334711030121277, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([0.70516908, 1.38854848]), 'dist_end_effector': -3.0407246896475333, 'collision': False}
{'pos_end_effector': array([-1.5740623 , -1.58216446]), 'dist_end_effector': -1.6384954353212238, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99981296, -0.0035214 ]), 'dist_end_effector': -1.0001932350264142, 'collision': False}
{'pos_end_effector': array([-0.99992718,  0.01748908]), 'dist_end_effector': -1.0002257302271191, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.0002765055382732, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.97756648,  0.03279423]), 'dist_end_effector': -1.022959313544779, 'collision': False}
{'pos_end_effector': array([-0.99980629, -0.0093956 ]), 'dist_end_effector': -1.0002378415110849, 'collision': False}
{'pos_end_effector': array([-0.99993463,  0.00366559]), 'dist_end_effector': -1.000072085581305, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.96129588,  0.15732138]), 'dist_end_effector': -1.0505504570990316, 'collision': False}
{'pos_end_effector': array([-0.99995341,  0.00152662]), 'dist_end_effector': -1.0000477580339042, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99981727, -0.00667932]), 'dist_end_effector': -1.000205036062451, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99999508, -0.01854299]), 'dist_end_effector': -1.0001768267316276, 'collision': False}
{'pos_end_effector': array([0.05442876, 1.05539307]), 'dist_end_effector': -2.3096605914514936, 'collision': False}
{'pos_end_effector': array([-0.29353078,  0.45752921]), 'dist_end_effector': -1.7667399861957556, 'collision': False}
{'pos_end_effector': array([-0.99991396,  0.01738854]), 'dist_end_effector': -1.0002371946343414, 'collision': False}
{'pos_end_effector': array([-0.99981793,  0.00769523]), 'dist_end_effector': -1.0002116691271816, 'collision': False}
{'pos_end_effector': array([-0.99985722, -0.01009016]), 'dist_end_effector': -1.0001936747601456, 'collision': False}
{'pos_end_effector': array([-0.99957426,  0.00833467]), 'dist_end_effector': -1.0004604543738316, 'collision': False}
{'pos_end_effector': array([-0.86891021,  0.41988516]), 'dist_end_effector': -1.2065105261802438, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.0002765055382723, 'collision': False}
{'pos_end_effector': array([-0.99995341,  0.00152662]), 'dist_end_effector': -1.0000477580339042, 'collision': False}
{'pos_end_effector': array([-0.0530728 ,  1.32438287]), 'dist_end_effector': -2.3546794907539215, 'collision': False}
{'pos_end_effector': array([-0.99998444,  0.00985762]), 'dist_end_effector': -1.0000641396689358, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99993463,  0.00366559]), 'dist_end_effector': -1.000072085581305, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.92525073, -1.35670026]), 'dist_end_effector': -1.7308152920645192, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-1.50177511, -1.09151783]), 'dist_end_effector': -1.1998496673820573, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-9.99290576e-01, -4.25783224e-04]), 'dist_end_effector': -1.0007095143098177, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99974265,  0.01532338]), 'dist_end_effector': -1.0003747151751716, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99994281,  0.01564171]), 'dist_end_effector': -1.0001795044572954, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.0002765055382716, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99980181,  0.0089292 ]), 'dist_end_effector': -1.0002380467340322, 'collision': False}
{'pos_end_effector': array([-0.99986906,  0.00485779]), 'dist_end_effector': -1.0001427416247, 'collision': False}
{'pos_end_effector': array([-0.99991829,  0.01659384]), 'dist_end_effector': -1.000219363064548, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99981574, -0.00649573]), 'dist_end_effector': -1.000205353263782, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.92905312,  0.0822071 ]), 'dist_end_effector': -1.0740974007448163, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-9.99679487e-01, -1.06565531e-04]), 'dist_end_effector': -1.0003205188214994, 'collision': False}
{'pos_end_effector': array([-9.99737461e-01,  3.83647192e-04]), 'dist_end_effector': -1.0002626128333074, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.0002765055382725, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.0002765055382725, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99992718,  0.01748908]), 'dist_end_effector': -1.0002257302271191, 'collision': False}
{'pos_end_effector': array([-0.9999055 ,  0.01714108]), 'dist_end_effector': -1.0002413818643026, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.7221433 ,  0.16602313]), 'dist_end_effector': -1.2885966886510896, 'collision': False}
{'pos_end_effector': array([-0.99958793,  0.00412657]), 'dist_end_effector': -1.0004205801299653, 'collision': False}
{'pos_end_effector': array([-0.99981727, -0.00667932]), 'dist_end_effector': -1.000205036062451, 'collision': False}
{'pos_end_effector': array([-0.99992718,  0.01748908]), 'dist_end_effector': -1.0002257302271191, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99998444,  0.00985762]), 'dist_end_effector': -1.0000641396689358, 'collision': False}
{'pos_end_effector': array([-0.99993463,  0.00366559]), 'dist_end_effector': -1.000072085581305, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99980579,  0.00467271]), 'dist_end_effector': -1.0002051204574687, 'collision': False}
{'pos_end_effector': array([-0.99993077,  0.0133167 ]), 'dist_end_effector': -1.0001578851905037, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99997253, -0.00800731]), 'dist_end_effector': -1.000059523666353, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.92630751,  0.27581998]), 'dist_end_effector': -1.1085541101683978, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99991396,  0.01738854]), 'dist_end_effector': -1.0002371946343414, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.94194465, -3.97258946]), 'dist_end_effector': -4.111076276455239, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99994873, -0.01875378]), 'dist_end_effector': -1.0002271009528667, 'collision': False}
{'pos_end_effector': array([-0.97887348,  0.03147273]), 'dist_end_effector': -1.0216114292584138, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([0.19416286, 0.99692421]), 'dist_end_effector': -2.4100225154501915, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
{'pos_end_effector': array([-0.99918964, -0.0111928 ]), 'dist_end_effector': -1.0008729505316725, 'collision': False}
{'pos_end_effector': array([-0.99981727, -0.00667932]), 'dist_end_effector': -1.000205036062451, 'collision': False}
{'pos_end_effector': array([-0.99977009,  0.00965512]), 'dist_end_effector': -1.000276505538272, 'collision': False}
## Generation 26 
{'pos_end_effector': array([-0.99995341,  0.00152662]), 'dist_end_effector': -1.0000477580339042, 'collision': False}
{'pos_end_effector': array([-0.99978902, -0.00933709]), 'dist_end_effector': -1.0002545554954987, 'collision': False}
{'pos_end_effector': array([-0.99981794, -0.00687482]), 'dist_end_effector': -1.0002056836462785, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99985722, -0.01009016]), 'dist_end_effector': -1.0001936747601456, 'collision': False}
{'pos_end_effector': array([-9.99850422e-01, -2.19215679e-04]), 'dist_end_effector': -1.0001496015858038, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99995341,  0.00152662]), 'dist_end_effector': -1.0000477580339042, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99978902, -0.00933709]), 'dist_end_effector': -1.0002545554954987, 'collision': False}
{'pos_end_effector': array([-0.99991396,  0.01738854]), 'dist_end_effector': -1.0002371946343414, 'collision': False}
{'pos_end_effector': array([-0.99981727, -0.00667932]), 'dist_end_effector': -1.000205036062451, 'collision': False}
{'pos_end_effector': array([-0.99998009,  0.01094113]), 'dist_end_effector': -1.0000797641599972, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99994288, -0.01153051]), 'dist_end_effector': -1.000123586150491, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99997253, -0.00800731]), 'dist_end_effector': -1.000059523666353, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-9.99737461e-01,  3.83647192e-04]), 'dist_end_effector': -1.0002626128333074, 'collision': False}
{'pos_end_effector': array([-0.99968599,  0.01670808]), 'dist_end_effector': -1.0004535327413613, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.93293963,  0.03416926]), 'dist_end_effector': -1.0676073124548053, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99991396,  0.01738854]), 'dist_end_effector': -1.0002371946343414, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99998314,  0.00159787]), 'dist_end_effector': -1.0000181340233052, 'collision': False}
{'pos_end_effector': array([-0.99991396,  0.01738854]), 'dist_end_effector': -1.0002371946343414, 'collision': False}
{'pos_end_effector': array([-0.54051391,  0.25069087]), 'dist_end_effector': -1.4808597382492923, 'collision': False}
{'pos_end_effector': array([-0.99993463,  0.00366559]), 'dist_end_effector': -1.000072085581305, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99980843, -0.0079554 ]), 'dist_end_effector': -1.000223202692724, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.00009738782006, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([0.04062067, 0.2997922 ]), 'dist_end_effector': -2.062524683188616, 'collision': False}
{'pos_end_effector': array([-0.99997253, -0.00800731]), 'dist_end_effector': -1.000059523666353, 'collision': False}
{'pos_end_effector': array([-0.99989596, -0.00266866]), 'dist_end_effector': -1.0001076005276128, 'collision': False}
{'pos_end_effector': array([-0.35528124,  0.30491983]), 'dist_end_effector': -1.6727450227167124, 'collision': False}
{'pos_end_effector': array([-0.99982602, -0.00443937]), 'dist_end_effector': -1.0001838323000973, 'collision': False}
{'pos_end_effector': array([-0.99970565, -0.00134386]), 'dist_end_effector': -1.0002952540441923, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99991562, -0.00168884]), 'dist_end_effector': -1.0000858012865226, 'collision': False}
{'pos_end_effector': array([-0.99999508, -0.01854299]), 'dist_end_effector': -1.0001768267316276, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99934378, -0.01194032]), 'dist_end_effector': -1.0007274525616878, 'collision': False}
{'pos_end_effector': array([-0.99999508, -0.01854299]), 'dist_end_effector': -1.0001768267316276, 'collision': False}
{'pos_end_effector': array([-0.99989954,  0.01819882]), 'dist_end_effector': -1.000266026083374, 'collision': False}
{'pos_end_effector': array([-0.99990777,  0.01837443]), 'dist_end_effector': -1.0002610131893555, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.89317459,  0.13041371]), 'dist_end_effector': -1.1144820381684355, 'collision': False}
{'pos_end_effector': array([-0.99985674, -0.02210873]), 'dist_end_effector': -1.0003875956771122, 'collision': False}
{'pos_end_effector': array([-0.99995341,  0.00152662]), 'dist_end_effector': -1.0000477580339042, 'collision': False}
{'pos_end_effector': array([-0.31441356,  0.30589312]), 'dist_end_effector': -1.7131177029537825, 'collision': False}
{'pos_end_effector': array([-0.99943971,  0.00813805]), 'dist_end_effector': -1.0005933807318572, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99962747,  0.00297811]), 'dist_end_effector': -1.0003769655538206, 'collision': False}
{'pos_end_effector': array([-0.99556551, -0.09476074]), 'dist_end_effector': -1.0088945596903933, 'collision': False}
{'pos_end_effector': array([-0.99994281,  0.01564171]), 'dist_end_effector': -1.0001795044572954, 'collision': False}
{'pos_end_effector': array([-0.99993463,  0.00366559]), 'dist_end_effector': -1.000072085581305, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99992718,  0.01748908]), 'dist_end_effector': -1.0002257302271191, 'collision': False}
{'pos_end_effector': array([-9.99737461e-01,  3.83647192e-04]), 'dist_end_effector': -1.0002626128333074, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.52708252,  0.24176376]), 'dist_end_effector': -1.4926270858677686, 'collision': False}
{'pos_end_effector': array([-0.99987651,  0.01512317]), 'dist_end_effector': -1.0002378238988077, 'collision': False}
{'pos_end_effector': array([-0.99993463,  0.00366559]), 'dist_end_effector': -1.000072085581305, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99982602, -0.00443937]), 'dist_end_effector': -1.0001838323000973, 'collision': False}
{'pos_end_effector': array([-0.94479674, -1.31322462]), 'dist_end_effector': -1.684640266888346, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.000097387820061, 'collision': False}
{'pos_end_effector': array([-0.99976577, -0.0060496 ]), 'dist_end_effector': -1.0002525265524247, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99993463,  0.00366559]), 'dist_end_effector': -1.000072085581305, 'collision': False}
{'pos_end_effector': array([-0.99980629, -0.0093956 ]), 'dist_end_effector': -1.0002378415110849, 'collision': False}
{'pos_end_effector': array([-0.72089405,  0.7734217 ]), 'dist_end_effector': -1.4947552163794784, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99944345,  0.00670871]), 'dist_end_effector': -1.0005790455178996, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99991396,  0.01738854]), 'dist_end_effector': -1.0002371946343416, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99996511,  0.00587964]), 'dist_end_effector': -1.0000521757876522, 'collision': False}
{'pos_end_effector': array([-0.89377439, -0.44831197]), 'dist_end_effector': -1.1936158192308362, 'collision': False}
{'pos_end_effector': array([-0.99424182, -0.00393889]), 'dist_end_effector': -1.005765889851688, 'collision': False}
{'pos_end_effector': array([-0.99998444,  0.00985762]), 'dist_end_effector': -1.0000641396689358, 'collision': False}
{'pos_end_effector': array([-0.99982187, -0.00538082]), 'dist_end_effector': -1.0001925993064675, 'collision': False}
{'pos_end_effector': array([-0.99992718,  0.01748908]), 'dist_end_effector': -1.0002257302271191, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99974109, -0.0045453 ]), 'dist_end_effector': -1.0002692375834141, 'collision': False}
{'pos_end_effector': array([-0.99973135, -0.01503471]), 'dist_end_effector': -1.0003816348232346, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99985474,  0.00705905]), 'dist_end_effector': -1.0001701696402303, 'collision': False}
{'pos_end_effector': array([-0.99980663, -0.00280822]), 'dist_end_effector': -1.0001973081108593, 'collision': False}
{'pos_end_effector': array([-0.99994281,  0.01564171]), 'dist_end_effector': -1.0001795044572954, 'collision': False}
{'pos_end_effector': array([-0.9840047 , -0.00102016]), 'dist_end_effector': -1.015995813312666, 'collision': False}
{'pos_end_effector': array([-0.99974109, -0.0045453 ]), 'dist_end_effector': -1.0002692375834141, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99995341,  0.00152662]), 'dist_end_effector': -1.0000477580339042, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99921273,  0.00611806]), 'dist_end_effector': -1.0008059655849577, 'collision': False}
{'pos_end_effector': array([-0.86356438,  0.04922642]), 'dist_end_effector': -1.1375012790367944, 'collision': False}
{'pos_end_effector': array([-0.99982712,  0.0010293 ]), 'dist_end_effector': -1.0001734133540559, 'collision': False}
{'pos_end_effector': array([-0.99998388, -0.01274904]), 'dist_end_effector': -1.0000973878200605, 'collision': False}
{'pos_end_effector': array([-0.99991829,  0.01659384]), 'dist_end_effector': -1.000219363064548, 'collision': False}
{'pos_end_effector': array([-0.99981574, -0.00649573]), 'dist_end_effector': -1.000205353263782, 'collision': False}
{'pos_end_effector': array([-0.99974109, -0.0045453 ]), 'dist_end_effector': -1.0002692375834141, 'collision': False}
{'pos_end_effector': array([-0.99079406, -0.13585809]), 'dist_end_effector': -1.0183094056293047, 'collision': False}
{'pos_end_effector': array([-0.99941826,  0.01881869]), 'dist_end_effector': -1.0007586917094429, 'collision': False}
{'pos_end_effector': array([-0.98534303,  0.00687651]), 'dist_end_effector': -1.0146802685374938, 'collision': False}
{'pos_end_effector': array([-0.99981727, -0.00667932]), 'dist_end_effector': -1.000205036062451, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.94732646,  0.0395686 ]), 'dist_end_effector': -1.0534169462461072, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.99981727, -0.00667932]), 'dist_end_effector': -1.000205036062451, 'collision': False}
