## Generation 0 
{'pos_end_effector': array([ 0.86250061, -1.64598655]), 'dist_end_effector': -3.3019965882575386, 'collision': False}
{'pos_end_effector': array([ 1.47963963, -1.9125799 ]), 'dist_end_effector': -3.9706238565875154, 'collision': False}
{'pos_end_effector': array([3.85778721, 0.28009352]), 'dist_end_effector': -5.864479801231064, 'collision': False}
{'pos_end_effector': array([1.77472911, 2.78184037]), 'dist_end_effector': -4.689052750333877, 'collision': False}
{'pos_end_effector': array([0.70916083, 0.42467064]), 'dist_end_effector': -2.742243164177279, 'collision': False}
{'pos_end_effector': array([-1.8440867 ,  1.42046782]), 'dist_end_effector': -1.428998869756549, 'collision': False}
{'pos_end_effector': array([-0.68159137, -0.88995209]), 'dist_end_effector': -1.5906652780770079, 'collision': False}
{'pos_end_effector': array([1.64028076, 1.45998711]), 'dist_end_effector': -3.922143084999754, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.53444897, 2.58059083]), 'dist_end_effector': -7.0255585142956924, 'collision': False}
{'pos_end_effector': array([ 0.20351158, -0.30728131]), 'dist_end_effector': -2.2248337237898066, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.55471146, 3.64453205]), 'dist_end_effector': -5.833353272733725, 'collision': False}
{'pos_end_effector': array([-0.50583532, -1.08202458]), 'dist_end_effector': -1.8448049402652889, 'collision': False}
{'pos_end_effector': array([ 2.18678156, -0.10813902]), 'dist_end_effector': -4.188177874024344, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.4101853 , 0.37819348]), 'dist_end_effector': -6.42133209911558, 'collision': False}
{'pos_end_effector': array([1.88747491, 1.49515328]), 'dist_end_effector': -4.1650863703597505, 'collision': False}
{'pos_end_effector': array([-2.61505961,  4.3559697 ]), 'dist_end_effector': -4.399178368721968, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.805688  , -2.87683817]), 'dist_end_effector': -4.018467745362243, 'collision': False}
{'pos_end_effector': array([0.54619272, 0.69634608]), 'dist_end_effector': -2.6396960510941625, 'collision': False}
{'pos_end_effector': array([-1.79543676, -1.27494949]), 'dist_end_effector': -1.2912560973353744, 'collision': False}
{'pos_end_effector': array([3.19211502, 1.40792023]), 'dist_end_effector': -5.379618736150237, 'collision': False}
{'pos_end_effector': array([ 1.59849564, -1.09869089]), 'dist_end_effector': -3.762484889879125, 'collision': False}
{'pos_end_effector': array([3.65899276, 3.11441608]), 'dist_end_effector': -6.459395220847415, 'collision': False}
{'pos_end_effector': array([-3.09003586, -2.92783171]), 'dist_end_effector': -3.124160164039393, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.86337934, -1.62461174]), 'dist_end_effector': -3.2921580423322525, 'collision': False}
{'pos_end_effector': array([-0.57511315,  2.18866838]), 'dist_end_effector': -2.6116224498373573, 'collision': False}
{'pos_end_effector': array([-0.98916309, -1.08360276]), 'dist_end_effector': -1.4818860276937906, 'collision': False}
{'pos_end_effector': array([-1.79500544,  1.21117151]), 'dist_end_effector': -1.2283970015506822, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 6.35839584, -0.20502186]), 'dist_end_effector': -8.360909937442392, 'collision': False}
{'pos_end_effector': array([-0.73734443, -2.44917694]), 'dist_end_effector': -2.755497556158001, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.4042906 , -1.94211424]), 'dist_end_effector': -5.742661802641134, 'collision': False}
{'pos_end_effector': array([-2.50484897, -3.87488782]), 'dist_end_effector': -3.907637150930795, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.25291072, -0.28352091]), 'dist_end_effector': -5.26055654615254, 'collision': False}
{'pos_end_effector': array([-0.10683001, -2.9435675 ]), 'dist_end_effector': -3.4998117415131262, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.01467571, -0.59779144]), 'dist_end_effector': -4.0589377534902775, 'collision': False}
{'pos_end_effector': array([ 3.99074041, -1.18474413]), 'dist_end_effector': -6.106765859675014, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.04492659, 3.84302144]), 'dist_end_effector': -6.341931729853726, 'collision': False}
{'pos_end_effector': array([ 2.20875055, -4.69734099]), 'dist_end_effector': -6.30702731604303, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.73363507, -2.00218277]), 'dist_end_effector': -3.3884357071882283, 'collision': False}
{'pos_end_effector': array([-3.84271892,  0.13406428]), 'dist_end_effector': -1.8475893026960784, 'collision': False}
{'pos_end_effector': array([ 1.13494053, -1.51846734]), 'dist_end_effector': -3.4833310515247047, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.1863127 , -0.44407733]), 'dist_end_effector': -2.230956719540125, 'collision': False}
{'pos_end_effector': array([ 0.75649392, -3.50405123]), 'dist_end_effector': -4.45832185220877, 'collision': False}
{'pos_end_effector': array([ 0.03791424, -1.2168916 ]), 'dist_end_effector': -2.373587923626017, 'collision': False}
{'pos_end_effector': array([0.96747843, 1.9244557 ]), 'dist_end_effector': -3.5368712130030553, 'collision': False}
{'pos_end_effector': array([ 0.6158615 , -4.42467329]), 'dist_end_effector': -5.1400841515982805, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.23734626, 0.16810248]), 'dist_end_effector': -6.239611105617995, 'collision': False}
{'pos_end_effector': array([ 2.91233491, -1.90805989]), 'dist_end_effector': -5.26988868777613, 'collision': False}
{'pos_end_effector': array([2.00072297, 1.49728635]), 'dist_end_effector': -4.271726897170948, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.31395514, -3.15969385]), 'dist_end_effector': -3.5813981171335616, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.30651743, 0.37222612]), 'dist_end_effector': -5.3195563258074765, 'collision': False}
