## Generation 0 
{'pos_end_effector': array([ 2.26550643, -2.2351252 ]), 'dist_end_effector': -4.8156338886248005, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.4258791 , -0.91764884]), 'dist_end_effector': -4.520009421032168, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.63017374, 1.33161626]), 'dist_end_effector': -2.9480528751310935, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.45387686, -1.72122558]), 'dist_end_effector': -2.997353687849132, 'collision': False}
{'pos_end_effector': array([ 2.38862653, -1.8288608 ]), 'dist_end_effector': -4.75444788272362, 'collision': False}
{'pos_end_effector': array([-2.46082447, -3.88866697]), 'dist_end_effector': -3.915876661703078, 'collision': False}
{'pos_end_effector': array([3.13365991, 1.17322028]), 'dist_end_effector': -5.266014614080336, 'collision': False}
{'pos_end_effector': array([-2.95883192, -4.16511323]), 'dist_end_effector': -4.274052748550087, 'collision': False}
{'pos_end_effector': array([ 2.79523804, -0.84549713]), 'dist_end_effector': -4.869206639737497, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.55948463, 2.49850364]), 'dist_end_effector': -6.095111957845384, 'collision': False}
{'pos_end_effector': array([4.46002615, 0.66302387]), 'dist_end_effector': -6.493961698873387, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.58030274, 3.50296205]), 'dist_end_effector': -4.35071319876433, 'collision': False}
{'pos_end_effector': array([ 0.12470318, -1.48734035]), 'dist_end_effector': -2.593558350456774, 'collision': False}
{'pos_end_effector': array([ 0.93852127, -1.27040814]), 'dist_end_effector': -3.2013815926616207, 'collision': False}
{'pos_end_effector': array([-0.07519875,  2.0536815 ]), 'dist_end_effector': -2.8146878259475088, 'collision': False}
{'pos_end_effector': array([ 3.16268656, -2.11857671]), 'dist_end_effector': -5.580474871710789, 'collision': False}
{'pos_end_effector': array([0.23562921, 1.51030032]), 'dist_end_effector': -2.697970538901688, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.82218877, -5.84586069]), 'dist_end_effector': -5.963331827794186, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.68711369, 3.53721464]), 'dist_end_effector': -7.565010044534165, 'collision': False}
{'pos_end_effector': array([3.65376578, 1.54601036]), 'dist_end_effector': -5.861332233029558, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.33687019, -0.25657422]), 'dist_end_effector': -2.35091313995582, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.08485354, -2.15630957]), 'dist_end_effector': -2.999380811145049, 'collision': False}
## Generation 1 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.92658008, -1.73533963]), 'dist_end_effector': -2.040498462743727, 'collision': False}
{'pos_end_effector': array([-2.46082447, -3.88866697]), 'dist_end_effector': -3.915876661703078, 'collision': False}
{'pos_end_effector': array([-1.02548459, -7.47152982]), 'dist_end_effector': -7.534815074438045, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.02360926, -5.32702922]), 'dist_end_effector': -6.125312508980203, 'collision': False}
{'pos_end_effector': array([ 0.81497861, -2.73646685]), 'dist_end_effector': -3.9258572789778885, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.39053574, -2.68561745]), 'dist_end_effector': -6.931918070005884, 'collision': False}
{'pos_end_effector': array([1.00190693, 2.07157834]), 'dist_end_effector': -3.6473116156618968, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.67376966, -0.0964729 ]), 'dist_end_effector': -2.6755095261322452, 'collision': False}
{'pos_end_effector': array([ 4.59371097, -0.03340136]), 'dist_end_effector': -6.593795566335891, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.09521757, 3.06604631]), 'dist_end_effector': -3.7135665643215208, 'collision': False}
{'pos_end_effector': array([ 0.32986794, -4.21055109]), 'dist_end_effector': -4.812174674710336, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.18962572, -5.9496757 ]), 'dist_end_effector': -6.339802970306031, 'collision': False}
{'pos_end_effector': array([-1.4004766 ,  2.19631846]), 'dist_end_effector': -2.276673691497571, 'collision': False}
{'pos_end_effector': array([2.24161906, 2.00348485]), 'dist_end_effector': -4.690978976987534, 'collision': False}
{'pos_end_effector': array([ 0.05961604, -1.46748935]), 'dist_end_effector': -2.5289411265670108, 'collision': False}
{'pos_end_effector': array([3.55963785, 1.52572957]), 'dist_end_effector': -5.765190694325294, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.69876648, 2.50390241]), 'dist_end_effector': -4.466587151500752, 'collision': False}
{'pos_end_effector': array([1.20621568, 2.17358446]), 'dist_end_effector': -3.8735369385568794, 'collision': False}
{'pos_end_effector': array([ 0.70139844, -1.91178338]), 'dist_end_effector': -3.309451495125444, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.4258791 , -0.91764884]), 'dist_end_effector': -4.520009421032168, 'collision': False}
{'pos_end_effector': array([ 1.17187361, -1.40188968]), 'dist_end_effector': -3.467863443008267, 'collision': False}
{'pos_end_effector': array([-1.59566857,  2.36053268]), 'dist_end_effector': -2.3949109470089667, 'collision': False}
{'pos_end_effector': array([ 0.82819408, -1.96206212]), 'dist_end_effector': -3.442146062396937, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.07437544, 2.13719518]), 'dist_end_effector': -3.744247265470032, 'collision': False}
{'pos_end_effector': array([-3.2400533 ,  1.68475852]), 'dist_end_effector': -2.091923386555042, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.79523804, -0.84549713]), 'dist_end_effector': -4.869206639737497, 'collision': False}
{'pos_end_effector': array([0.11248686, 3.14181283]), 'dist_end_effector': -3.7859726078966434, 'collision': False}
{'pos_end_effector': array([ 2.95957941, -5.65728822]), 'dist_end_effector': -7.52345252378661, 'collision': False}
{'pos_end_effector': array([ 2.26550643, -2.2351252 ]), 'dist_end_effector': -4.8156338886248005, 'collision': False}
{'pos_end_effector': array([-1.0433782 ,  4.16983829]), 'dist_end_effector': -4.278162766933839, 'collision': False}
{'pos_end_effector': array([3.55948463, 2.49850364]), 'dist_end_effector': -6.095111957845384, 'collision': False}
{'pos_end_effector': array([-2.43079206, -3.27054705]), 'dist_end_effector': -3.298796715803219, 'collision': False}
{'pos_end_effector': array([2.80033574, 0.82855703]), 'dist_end_effector': -4.871317063037693, 'collision': False}
{'pos_end_effector': array([3.52559157, 0.25601605]), 'dist_end_effector': -5.531519358157914, 'collision': False}
{'pos_end_effector': array([-3.39733686,  2.60189688]), 'dist_end_effector': -2.9533739490063757, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.01930064,  1.65773174]), 'dist_end_effector': -2.582875233585709, 'collision': False}
{'pos_end_effector': array([-0.85049969,  4.90873596]), 'dist_end_effector': -5.041531480028897, 'collision': False}
{'pos_end_effector': array([-2.87232185,  3.50191362]), 'dist_end_effector': -3.6089256634646416, 'collision': False}
{'pos_end_effector': array([-0.90786322, -1.22371787]), 'dist_end_effector': -1.640197597678345, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.62402147, 0.4565787 ]), 'dist_end_effector': -3.652669673110507, 'collision': False}
{'pos_end_effector': array([4.46002615, 0.66302387]), 'dist_end_effector': -6.493961698873387, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.81117068, -3.67286669]), 'dist_end_effector': -3.761375758166176, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
