## Generation 0 
{'pos_end_effector': array([0.06959694, 3.51661634]), 'dist_end_effector': -4.080419337586187, 'collision': False}
{'pos_end_effector': array([5.13916124, 0.14583969]), 'dist_end_effector': -7.140650702500291, 'collision': False}
{'pos_end_effector': array([ 4.32660901, -2.29161546]), 'dist_end_effector': -6.728854510712852, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.17646074, -0.32422849]), 'dist_end_effector': -3.1929652284967025, 'collision': False}
{'pos_end_effector': array([0.75295158, 3.13701583]), 'dist_end_effector': -4.173680712911541, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.95094684, -2.75009097]), 'dist_end_effector': -2.9433846007378537, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.55746437, 0.76107146]), 'dist_end_effector': -4.62057477175535, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.05079926, -4.10733549]), 'dist_end_effector': -5.76881092586044, 'collision': False}
{'pos_end_effector': array([ 4.6718582 , -1.88959439]), 'dist_end_effector': -6.934281419314633, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.29584107, 2.95898334]), 'dist_end_effector': -5.216304529486591, 'collision': False}
{'pos_end_effector': array([0.44580529, 1.43207945]), 'dist_end_effector': -2.834222122570161, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.77218618,  2.5939334 ]), 'dist_end_effector': -2.8698462070811734, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.0240412, 0.6829109]), 'dist_end_effector': -6.062626464574612, 'collision': False}
{'pos_end_effector': array([ 0.89378868, -2.76010107]), 'dist_end_effector': -3.9990212408667283, 'collision': False}
{'pos_end_effector': array([ 1.11593248, -1.98435601]), 'dist_end_effector': -3.6941445560513357, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.87392141, -1.13330195]), 'dist_end_effector': -3.0893037431794736, 'collision': False}
## Generation 1 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.20020266, -4.2108681 ]), 'dist_end_effector': -5.288923064555602, 'collision': False}
{'pos_end_effector': array([ 0.89378868, -2.76010107]), 'dist_end_effector': -3.9990212408667283, 'collision': False}
{'pos_end_effector': array([1.11414568, 2.5797354 ]), 'dist_end_effector': -4.043876607851353, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.56755353, 0.1075584 ]), 'dist_end_effector': -2.5698054325339377, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.15838389,  5.87327971]), 'dist_end_effector': -5.875414884675721, 'collision': False}
{'pos_end_effector': array([3.57068444, 0.35418464]), 'dist_end_effector': -5.581932631503817, 'collision': False}
{'pos_end_effector': array([0.13589607, 1.18459519]), 'dist_end_effector': -2.442400002742072, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.83601329, 1.0286314 ]), 'dist_end_effector': -4.944199338952413, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.90613058, -2.14564665]), 'dist_end_effector': -7.231765979406673, 'collision': False}
{'pos_end_effector': array([3.29570937, 1.108668  ]), 'dist_end_effector': -5.410515910126127, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.80093634, -0.21380623]), 'dist_end_effector': -2.809084816211812, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.53450163,  2.64103165]), 'dist_end_effector': -3.0203863370413244, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.23658392, 1.22315686]), 'dist_end_effector': -2.549199936033071, 'collision': False}
{'pos_end_effector': array([2.62676725, 1.4377574 ]), 'dist_end_effector': -4.845009962659029, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.81951516, 1.02236185]), 'dist_end_effector': -3.953975193802339, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.17646074, -0.32422849]), 'dist_end_effector': -3.1929652284967025, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.01016842, -2.39396984]), 'dist_end_effector': -5.55273618689647, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.11121918, -0.62555458]), 'dist_end_effector': -4.158538408350145, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.87392141, -1.13330195]), 'dist_end_effector': -3.0893037431794736, 'collision': False}
{'pos_end_effector': array([1.35806089, 3.06101302]), 'dist_end_effector': -4.543828083045471, 'collision': False}
{'pos_end_effector': array([-0.83318236, -2.38278935]), 'dist_end_effector': -2.6531393673515815, 'collision': False}
{'pos_end_effector': array([ 1.3514723 , -0.98822817]), 'dist_end_effector': -3.4941324360306645, 'collision': False}
{'pos_end_effector': array([3.04040958, 0.56762495]), 'dist_end_effector': -5.072270378638802, 'collision': False}
{'pos_end_effector': array([1.53461355, 3.42172934]), 'dist_end_effector': -4.919524842425749, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.01016842, -2.39396984]), 'dist_end_effector': -5.55273618689647, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.44513498,  2.83888828]), 'dist_end_effector': -3.2368027312439125, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.72262944, -5.13631721]), 'dist_end_effector': -6.34347889035696, 'collision': False}
{'pos_end_effector': array([-0.1020631,  3.6258873]), 'dist_end_effector': -4.0925814806205745, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.11355549, -2.2192157 ]), 'dist_end_effector': -3.0646427445450026, 'collision': False}
{'pos_end_effector': array([-0.71883233,  2.48830427]), 'dist_end_effector': -2.7987584234744936, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.18386894, 2.07868122]), 'dist_end_effector': -5.58510633611642, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([5.44933097, 2.98729608]), 'dist_end_effector': -8.02598715221417, 'collision': False}
{'pos_end_effector': array([ 2.14908034, -0.2641332 ]), 'dist_end_effector': -4.157479291333484, 'collision': False}
{'pos_end_effector': array([1.32962961, 3.05996575]), 'dist_end_effector': -4.52214813171041, 'collision': False}
{'pos_end_effector': array([ 0.96824282, -4.11004816]), 'dist_end_effector': -5.069808806060709, 'collision': False}
{'pos_end_effector': array([ 0.29086976, -2.93375083]), 'dist_end_effector': -3.722227582759025, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
