## Generation 0 
{'pos_end_effector': array([ 3.98245981, -1.25806862]), 'dist_end_effector': -6.113310239285297, 'collision': False}
{'pos_end_effector': array([0.84272222, 0.39454889]), 'dist_end_effector': -2.8699718534235634, 'collision': False}
{'pos_end_effector': array([-0.36081541, -0.74228456]), 'dist_end_effector': -1.7994200363148642, 'collision': False}
{'pos_end_effector': array([1.44921472, 0.55994858]), 'dist_end_effector': -3.4943704189299236, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 5.40342023, -2.31688663]), 'dist_end_effector': -7.757486374349291, 'collision': False}
{'pos_end_effector': array([0.09762211, 1.91690328]), 'dist_end_effector': -2.8415729245278123, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.40591605, 1.56381384]), 'dist_end_effector': -4.675212286400865, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.78711399, -1.63791352]), 'dist_end_effector': -4.126135371268703, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.76526544,  1.44106013]), 'dist_end_effector': -1.8976890565670175, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.15465213,  3.12989835]), 'dist_end_effector': -3.633396812699657, 'collision': False}
{'pos_end_effector': array([-1.15777892, -3.86905381]), 'dist_end_effector': -3.9596608143520817, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.61643266, -1.2228247 ]), 'dist_end_effector': -3.8175758604685157, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.22933072, -0.07914375]), 'dist_end_effector': -1.7724371397669023, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.15168887, -4.25930591]), 'dist_end_effector': -4.262006144682211, 'collision': False}
{'pos_end_effector': array([0.31454959, 3.8469038 ]), 'dist_end_effector': -4.48952209482222, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.05570169, 3.70377727]), 'dist_end_effector': -4.236021184198294, 'collision': False}
{'pos_end_effector': array([ 1.90321879, -3.14651733]), 'dist_end_effector': -5.0135504596692435, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-3.6740098 , -2.49397416]), 'dist_end_effector': -3.0037003685223866, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.93866784, -2.72372225]), 'dist_end_effector': -4.006798174394816, 'collision': False}
{'pos_end_effector': array([1.19630086, 0.71267332]), 'dist_end_effector': -3.274788914863532, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.96564   , -0.17309491]), 'dist_end_effector': -2.970687205500538, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.96818099, -2.55766019]), 'dist_end_effector': -2.557858107805928, 'collision': False}
{'pos_end_effector': array([2.48210046, 3.6541824 ]), 'dist_end_effector': -5.782929500545274, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.92624703, 4.62750973]), 'dist_end_effector': -5.475104378638777, 'collision': False}
{'pos_end_effector': array([ 0.12255376, -1.49474357]), 'dist_end_effector': -2.5960533113041575, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-3.27932418,  4.05734704]), 'dist_end_effector': -4.254260848681385, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.99094744, -2.14281353]), 'dist_end_effector': -3.6793228235959186, 'collision': False}
{'pos_end_effector': array([-1.46503168, -3.87136605]), 'dist_end_effector': -3.908153812787229, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.56105691, -3.55504358]), 'dist_end_effector': -3.5820393483913113, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.3984945 , -1.68642329]), 'dist_end_effector': -4.710708800162718, 'collision': False}
{'pos_end_effector': array([ 0.93123186, -0.56680222]), 'dist_end_effector': -2.985529262034269, 'collision': False}
{'pos_end_effector': array([0.09473548, 3.12110989]), 'dist_end_effector': -3.7588886205370624, 'collision': False}
{'pos_end_effector': array([ 0.26843306, -0.26636439]), 'dist_end_effector': -2.2840180648888464, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.66734745, -0.66199267]), 'dist_end_effector': -2.748267948017513, 'collision': False}
{'pos_end_effector': array([2.68505904, 4.17317895]), 'dist_end_effector': -6.274169329337836, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.30682572, 0.54616021]), 'dist_end_effector': -3.3516245768650608, 'collision': False}
{'pos_end_effector': array([ 0.67479527, -4.21406471]), 'dist_end_effector': -4.991279503873922, 'collision': False}
{'pos_end_effector': array([-0.105316  , -2.84056073]), 'dist_end_effector': -3.414471070639351, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.23588065,  5.25533024]), 'dist_end_effector': -5.310590769682752, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.82483194, 2.29727408]), 'dist_end_effector': -5.343825547632242, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.12032287, -1.68346238]), 'dist_end_effector': -5.389967705729289, 'collision': False}
{'pos_end_effector': array([1.71389905, 3.43237219]), 'dist_end_effector': -5.05709650108296, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.89191055, 3.10625495]), 'dist_end_effector': -4.979536878740539, 'collision': False}
{'pos_end_effector': array([5.20617961, 0.29986329]), 'dist_end_effector': -7.212415863651467, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.59775617, -2.56720486]), 'dist_end_effector': -7.079613499642382, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.72928443, 2.99225206]), 'dist_end_effector': -4.781331902068454, 'collision': False}
{'pos_end_effector': array([-0.74873825,  0.87544759]), 'dist_end_effector': -1.5271098373684562, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.84473201, -3.22082649]), 'dist_end_effector': -4.297234394478443, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.12277673, -2.25006797]), 'dist_end_effector': -2.9303196239626255, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.35716674, 3.72290282]), 'dist_end_effector': -6.523744396234222, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.64564356, -1.22685117]), 'dist_end_effector': -1.8274148843743172, 'collision': False}
{'pos_end_effector': array([0.33676026, 0.5376766 ]), 'dist_end_effector': -2.3978208111680543, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.87759336, 0.19981927]), 'dist_end_effector': -3.8827384622246353, 'collision': False}
{'pos_end_effector': array([0.25259675, 3.94197407]), 'dist_end_effector': -4.540192911425382, 'collision': False}
{'pos_end_effector': array([3.07833133, 1.38405027]), 'dist_end_effector': -5.263558132640934, 'collision': False}
{'pos_end_effector': array([0.18592287, 4.62693434]), 'dist_end_effector': -5.1173020391714, 'collision': False}
{'pos_end_effector': array([ 2.24675986, -0.27825512]), 'dist_end_effector': -4.255865980184203, 'collision': False}
## Generation 1 
{'pos_end_effector': array([-0.07496509, -2.40047898]), 'dist_end_effector': -3.077021085614284, 'collision': False}
{'pos_end_effector': array([-2.14445034, -4.23289443]), 'dist_end_effector': -4.2353584398061015, 'collision': False}
{'pos_end_effector': array([5.20617961, 0.29986329]), 'dist_end_effector': -7.212415863651467, 'collision': False}
{'pos_end_effector': array([ 0.17795811, -7.07320997]), 'dist_end_effector': -7.400932430763637, 'collision': False}
{'pos_end_effector': array([3.35716674, 3.72290282]), 'dist_end_effector': -6.523744396234222, 'collision': False}
{'pos_end_effector': array([-2.01767834, -2.24872609]), 'dist_end_effector': -2.248795580179056, 'collision': False}
{'pos_end_effector': array([ 1.78711399, -1.63791352]), 'dist_end_effector': -4.126135371268703, 'collision': False}
{'pos_end_effector': array([ 2.3984945 , -1.68642329]), 'dist_end_effector': -4.710708800162718, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
