## Generation 0 
{'pos_end_effector': array([ 0.34589439, -1.13021019]), 'dist_end_effector': -2.603957667666854, 'collision': False}
{'pos_end_effector': array([1.16019387, 2.82717027]), 'dist_end_effector': -4.240249641455852, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.38343502, -1.94697044]), 'dist_end_effector': -5.724689202153157, 'collision': False}
{'pos_end_effector': array([ 1.11392021, -2.31501762]), 'dist_end_effector': -3.8801811384397444, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.31122495, 1.57596889]), 'dist_end_effector': -3.6671362935297283, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.32164396, 1.37670711]), 'dist_end_effector': -2.6991393336045473, 'collision': False}
{'pos_end_effector': array([ 1.34850771, -3.0724468 ]), 'dist_end_effector': -4.544494819955053, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.57160794, -3.47887048]), 'dist_end_effector': -3.50514757980101, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.16636713, -2.30929079]), 'dist_end_effector': -2.4551512640569633, 'collision': False}
{'pos_end_effector': array([-2.25748565, -1.85550168]), 'dist_end_effector': -1.8732819708328534, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.06129259, 0.31398487]), 'dist_end_effector': -2.085069212629374, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.13386356, 1.23773449]), 'dist_end_effector': -4.315184194135473, 'collision': False}
{'pos_end_effector': array([ 4.21798986, -1.25355637]), 'dist_end_effector': -6.343090842266639, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.68150884, -1.55883556]), 'dist_end_effector': -3.997933923176762, 'collision': False}
{'pos_end_effector': array([ 3.33956383, -2.65048163]), 'dist_end_effector': -5.961207489328788, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.77326545, 0.89763641]), 'dist_end_effector': -3.87856716932925, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.0350256 , -1.64801637]), 'dist_end_effector': -2.618642232447349, 'collision': False}
{'pos_end_effector': array([5.04177889, 0.42915112]), 'dist_end_effector': -7.054843767786774, 'collision': False}
{'pos_end_effector': array([0.70927847, 1.52964601]), 'dist_end_effector': -3.111270918168612, 'collision': False}
{'pos_end_effector': array([ 2.45635341, -2.71485989]), 'dist_end_effector': -5.218194128208019, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.18273323, -2.7723487 ]), 'dist_end_effector': -2.890301416088729, 'collision': False}
{'pos_end_effector': array([ 1.30324281, -1.06989052]), 'dist_end_effector': -3.4721864565337817, 'collision': False}
{'pos_end_effector': array([-2.48625073,  1.60883199]), 'dist_end_effector': -1.6807082287965316, 'collision': False}
{'pos_end_effector': array([4.14231424, 1.36649935]), 'dist_end_effector': -6.29248318609286, 'collision': False}
{'pos_end_effector': array([ 1.77688749, -1.55106396]), 'dist_end_effector': -4.082974223399292, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.59562507, -0.95535609]), 'dist_end_effector': -4.693876332802426, 'collision': False}
{'pos_end_effector': array([ 5.73446735, -0.832926  ]), 'dist_end_effector': -7.779187037626892, 'collision': False}
{'pos_end_effector': array([-3.91745716,  1.58341885]), 'dist_end_effector': -2.4867362556131467, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.47349126, -1.86510814]), 'dist_end_effector': -2.4101571155239783, 'collision': False}
{'pos_end_effector': array([0.77618036, 2.5029964 ]), 'dist_end_effector': -3.7379363798087253, 'collision': False}
{'pos_end_effector': array([3.54572918, 2.96166372]), 'dist_end_effector': -6.287015519844614, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.03115858, -0.78711736]), 'dist_end_effector': -6.082304463767038, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.64243979,  1.55546128]), 'dist_end_effector': -2.06456521387357, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.48798656,  4.52086727]), 'dist_end_effector': -4.549769075528394, 'collision': False}
{'pos_end_effector': array([ 0.51066216, -4.61101723]), 'dist_end_effector': -5.250228979367146, 'collision': False}
{'pos_end_effector': array([-2.17087764,  1.57953468]), 'dist_end_effector': -1.5887507616255774, 'collision': False}
{'pos_end_effector': array([-4.71179899,  1.77457183]), 'dist_end_effector': -3.2408268933748663, 'collision': False}
{'pos_end_effector': array([2.2869135 , 0.25843548]), 'dist_end_effector': -4.294696297120525, 'collision': False}
{'pos_end_effector': array([ 1.62434893, -1.4115648 ]), 'dist_end_effector': -3.8895270092849277, 'collision': False}
