## Generation 0 
{'pos_end_effector': array([ 0.11979731, -0.92949228]), 'dist_end_effector': -2.3146266477785526, 'collision': False}
{'pos_end_effector': array([-1.46557816,  2.9813677 ]), 'dist_end_effector': -3.0288875974410474, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.6364255 , -1.28953229]), 'dist_end_effector': -2.934899134338238, 'collision': False}
{'pos_end_effector': array([-2.07332587,  3.47535973]), 'dist_end_effector': -3.476133188663065, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.88688842, 0.06213676]), 'dist_end_effector': -6.887168730254294, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.89727126,  3.21156167]), 'dist_end_effector': -3.2132042530771563, 'collision': False}
{'pos_end_effector': array([5.30689103, 0.27509418]), 'dist_end_effector': -7.312067652732639, 'collision': False}
{'pos_end_effector': array([1.6933913 , 4.22471209]), 'dist_end_effector': -5.6115355768478405, 'collision': False}
{'pos_end_effector': array([ 1.95166168, -0.42241564]), 'dist_end_effector': -3.974174758466594, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.86563067, -2.49061084]), 'dist_end_effector': -3.796706663365042, 'collision': False}
{'pos_end_effector': array([3.69476799, 1.34135442]), 'dist_end_effector': -5.850608017762391, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-2.81201167, -1.52728444]), 'dist_end_effector': -1.7297285071554378, 'collision': False}
{'pos_end_effector': array([1.57825065, 1.88734801]), 'dist_end_effector': -4.045486400545571, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.75790461, 3.17793829]), 'dist_end_effector': -4.207770148773502, 'collision': False}
{'pos_end_effector': array([-1.31599192, -3.07047453]), 'dist_end_effector': -3.1457401196500787, 'collision': False}
{'pos_end_effector': array([5.45586506, 0.92327816]), 'dist_end_effector': -7.5128134801406965, 'collision': False}
{'pos_end_effector': array([2.46687842, 1.14240982]), 'dist_end_effector': -4.610651038362537, 'collision': False}
{'pos_end_effector': array([ 0.74616809, -4.68622905]), 'dist_end_effector': -5.4315910988307765, 'collision': False}
{'pos_end_effector': array([ 2.89332969, -1.95150079]), 'dist_end_effector': -5.268114541148903, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.60188622, -0.45253324]), 'dist_end_effector': -1.4695266151201647, 'collision': False}
