## Generation 0 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.4538306 , -3.11132445]), 'dist_end_effector': -6.278901813631138, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.27930238,  1.51300639]), 'dist_end_effector': -2.2912853661894332, 'collision': False}
{'pos_end_effector': array([0.77880617, 0.70293936]), 'dist_end_effector': -2.8663369403782335, 'collision': False}
{'pos_end_effector': array([ 3.14459275, -2.69553876]), 'dist_end_effector': -5.807991369652162, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.96408359, 0.59789451]), 'dist_end_effector': -5.993977889113162, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.1950035 , 2.54626582]), 'dist_end_effector': -3.361771853319873, 'collision': False}
{'pos_end_effector': array([ 2.51210485, -1.55981505]), 'dist_end_effector': -4.774108624344308, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.25184758, 1.32141523]), 'dist_end_effector': -2.6109300539544793, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.43070536, -0.70146706]), 'dist_end_effector': -2.52989814088008, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 5.88762188, -2.64022   ]), 'dist_end_effector': -8.317772569145108, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.59624215, 1.45315384]), 'dist_end_effector': -4.820487316665976, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
